Student Attendee Majors (at Fair Time) Name,Student Attendee School Year (at Fair Time) Name,Student Attendees Count
,,"3,966"
Marketing,Senior,337
Finance,Senior,279
Marketing,Junior,248
Finance,Junior,222
Computer Science,Senior,219
Accounting,Senior,198
Computer Science,Junior,180
Accounting,Junior,173
Mechanical Engineering,Junior,157
Supply Chain Management,Senior,155
Psychology,Senior,115
Supply Chain Management,Junior,109
Education,Senior,109
Nursing,Freshman,108
Advertising & Public Relations,Senior,102
Marketing,Sophomore,95
Finance,Sophomore,92
Hospitality Tourism Management,Senior,90
Psychology,Junior,90
Business General,Sophomore,89
Data Science and Analytics,Masters,89
Computer Science,Sophomore,88
Allied Health Sciences,Senior,87
Business General,Junior,84
Mechanical Engineering,Senior,79
General Management,Senior,79
Biomedical Sciences,Senior,79
Mechanical Engineering,Sophomore,78
Hospitality Tourism Management,Junior,75
Applied Computer Science,Masters,72
Business Economics,Senior,69
Exploratory Study,Freshman,68
Business General,Senior,66
Business Economics,Junior,65
Accounting,Masters,65
Advertising & Public Relations,Junior,64
Accounting,Sophomore,63
Pre-professional Preparation,Senior,59
Electrical Engineering,Junior,58
Information Systems,Senior,57
Criminal Justice,Senior,57
Pre-professional Preparation,Junior,56
Management,Senior,56
Criminal Justice,Junior,55
Exercise Science,Senior,55
General Management,Junior,53
Biomedical Sciences,Junior,51
Health and Bioinformatics,Masters,49
Mathematics,Senior,49
Human Resources Management,Senior,49
Psychology,Sophomore,47
Nursing,Sophomore,47
Pre-professional Preparation,Sophomore,47
Allied Health Sciences,Junior,45
Computer Engineering,Senior,40
Biology,Senior,40
Information Systems,Junior,39
Communication Studies,Senior,39
Hospitality Tourism Management,Sophomore,39
Computer Engineering,Junior,39
Statistics,Senior,37
Electrical Engineering,Sophomore,37
Political Science,Senior,37
English,Senior,37
Biomedical Engineering,Junior,37
Electrical Engineering,Senior,36
Behavioral Neuroscience,Senior,35
Biomedical Sciences,Sophomore,34
Information Technology,Senior,34
Information Technology,Junior,34
Business General,Masters,33
Supply Chain Management,Sophomore,33
Cybersecurity,Junior,31
Allied Health Sciences,Sophomore,30
Engineering,Masters,30
Social Work,Masters,30
Human Resources Management,Junior,30
Exercise Science,Junior,29
Cybersecurity,Masters,29
Public and Nonprofit Admin,Senior,29
Pre-professional Preparation,Freshman,29
Product Dsgn & Mfg Engineering,Junior,28
Writing,Senior,27
Criminal Justice,Sophomore,27
Business General,Freshman,27
Nursing,Junior,26
Accounting,Freshman,26
International Business,Senior,26
Communication Studies,Junior,25
Integrative Studies,Senior,25
Environ and Sustain Studies,Senior,25
Biomedical Engineering,Sophomore,25
Advertising & Public Relations,Sophomore,25
Natural Resources Mgmt,Senior,25
Marketing,Alumni,24
Exercise Science,Sophomore,24
Management,Junior,23
Occupational Safety/Health Mgt,Junior,23
Biomedical Sciences,Freshman,23
Statistics,Junior,23
Finance,Freshman,22
Marketing,Freshman,22
Cybersecurity,Sophomore,22
Business Economics,Sophomore,21
Health Communication,Senior,21
Mathematics,Junior,20
Occupational Safety/Health Mgt,Senior,20
Product Dsgn & Mfg Engineering,Senior,20
Behavioral Neuroscience,Junior,20
Geographic Info Science Tech,Senior,20
Nursing,Senior,19
Social Work,Senior,19
Biomedical Engineering,Senior,19
Biochemistry,Senior,19
Writing,Junior,19
Allied Health Sciences,Freshman,18
,Masters,18
Psychology,Freshman,18
Economics,Senior,18
Public Administration,Masters,18
Health Administration,Masters,18
International Relations,Senior,18
Studio Art,Senior,18
Group Social Studies,Senior,18
Interdisciplinary Engineering,Junior,17
Public Health,Masters,17
Behavioral Neuroscience,Sophomore,17
Entrepreneurship,Senior,17
