major,student_attendees
Marketing,783
Finance,591
Computer Science,548
Mechanical Engineering,366
Accounting,325
Supply Chain Management,322
Advertising & Public Relations,226
General Management,220
Business General,208
Psychology,190
Electrical Engineering,163
Business Economics,153
Information Systems,153
Biomedical Sciences,131
Criminal Justice,127
Allied Health Sciences,123
Human Resources Management,120
Computer Engineering,114
Communication Studies,110
Management,96
Statistics,96
Hospitality Tourism Management,95
Mathematics,94
Data Science and Analytics,93
Exercise Science,88
Cybersecurity,85
Product Dsgn & Mfg Engineering,84
Applied Computer Science,83
Pre-professional Preparation,82
Physical Therapy,77
Information Technology,76
Social Work,74
Engineering,71
Nursing,70
Occupational Safety/Health Mgt,66
Public and Nonprofit Admin,62
Integrative Studies,61
Political Science,60
International Business,57
Writing,54
Biology,53
Environ and Sustain Studies,52
Cell & Molecular Biology,46
Behavioral Neuroscience,44
Entrepreneurship,43
Biomedical Engineering,41
International Relations,40
Health and Bioinformatics,38
Geographic Info Science Tech,37
Film and Video,36
Health Administration,36
Operations Management,36
Legal Studies,34
Health Communication,34
Education,34
Natural Resources Mgmt,34
Sport Management,34
Economics,32
Studio Art,32
English,32
General Studies,30
Biochemistry,29
Assoc of Arts (007),29
Business Administration,29
Public Health,28
Sociology,24
Multimedia Journalism,24
Public Administration,24
Liberal Studies,24
Non Degree Graduate,24
Computer Information Systems,23
Health Information Management,21
Interdisciplinary Engineering,20
Higher Education,20
Biostatistics,20
Leadership,19
Accounting (BS),19
Chemistry,19
Communications,18
Medical & Health Humanities,16
Anthropology,16
Geography,16
Spanish,15
Applied Data Analytics,14
General Sciences and Arts,14
Communication Sci & Disorders,13
Real Estate,13
Diagnostic Medical Sonography,12
Project Management,12
Music,12
Exploratory Study,12
Physics,11
Computer Science (BS),11
Philosophy,11
Environmental Remote Sensing,11
Paralegal Studies,10
Business (General),10
Occupational Therapy,10
Liberal Arts,9
Social Innovation,9
History,9
Group Social Studies,9
Business Fundamentals,9
Business Administration (102),9
Bioinformatics and Genomics,8
"Women, Gender & Sexuality Stdy",8
Assoc of General Studies (006),8
Applied Statistics,8
Non Degree Undergraduate,7
Physician Assistant Studies,7
Assoc of Science (011),7
Recreational Therapy,7
Sport Coaching,6
Workplace Tech & Communication,6
Degree Seeking Undergraduate,6
Comp Sci & Arts for Teaching,6
Radiation Therapy,6
Philan & Nonprofit Leadership,6
Speech-Language Pathology,6
Special Education,5
Geology,5
General Education,5
Photography,5
Biotechnology,5
Pre-Business (101),5
Theatre,5
Dance,5
Data Analytics,5
Sustainable Urban & Reg Plan,5
Clinical Dietetics,5
Computer Engineering (BS),5
General Studies (AA Degree),4
Communication,4
Study Abroad,4
Sustainable Food Systems,4
Green Chemistry,4
Business Administration & Management,4
Electronics and communication engineering,4
Database Management,4
Finance (BS),4
General Business,4
Applied Science,4
Global Studies & Social Impact,4
Business Management,4
Medical Laboratory Science,4
Applied Food & Nutrition,4
Dual Enrollment,4
Accounting (128),4
Educational Studies,3
Info Visualization Fundamental,3
Software Design & Development,3
Environmental Science,3
Information Systems Management,3
Science and Arts,3
Therapeutic Recreation,3
Electrical Engineering (BS),3
Instruction & Curriculum,3
Microbiology,3
Foundational ASL,3
Biological Sciences (BS),3
Data Science,3
Electrical And Computer Engineering,3
Integrated Science Elementary,3
Pre-Computer Science (452),3
Wildlife Biology,3
Pre-Engineering (553),3
MTA Requirements,3
General Engineering,3
"Jrnlsm, Brdcast & Digtl Media",3
Networking Fundamentals,3
School Counseling,3
General Biology,3
Engineering (BS),3
Classics,3
Info Security Fundamentals,3
Biomedical Informatics,3
Public Management (General),2
Mobile App Fundamentals,2
Electronic Engineering Technology,2
Electromagnetic Compatibility,2
Associates in Arts,2
Biological Sciences,2
Respiratory Care,2
Actuarial Science,2
Object-Oriented Program Fund,2
Computer Science and Engineering,2
Water Resource Policy,2
Culinary Arts,2
International Studies,2
Audiology,2
School Psychology,2
Master Of Business Adm (Mba),2
Cardiovascular Sonography,2
Undecided,2
Physical Education,2
Comp Information Systems (P10),2
Electronics And Computer Technology,2
Educational Leadership,2
Fisheries and Aquatic sciences,2
Dentistry,2
International Economics,2
Ped Cont Know PreK-6th,2
Architecture,2
"Communication, Culture, and Media (BA)",2
Web & Mobile Computing,2
Software Engineering,2
Associates Degree - General Studies,2
General Arts,2
Athletic Training,2
Latino/a Studies,2
Marketing (125),2
German,2
Cannabis Operations & Com Plan,2
None (nondegree),2
French,2
Women and Gender Studies,2
Science and Art,2
Business (P01),2
Accountancy,2
Data Mining Fundamentals,2
Undeclared/General Studies,2
Neuroscience,2
Geology (BS),2
Japanese,2
High School Diploma,2
French Linguistics,1
Health  Exercise Science (P02),1
Personal Financial Planning,1
Nonprofit Leadership,1
Chemistry (NATURAL SC),1
Art,1
Advertising and Public Relations,1
Allied Health Science,1
Education (CED - Bachelors),1
Chemical Engineering (BS),1
Gen Studies - Math/Natural Sci,1
Sociology--Criminal Justice Emphasis,1
